Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,115262.000000,117668.000000,115262.000000,117518.000000,117518.000000,7245100
2021-04-06,117519.000000,118213.000000,117176.000000,117499.000000,117499.000000,6800800
2021-04-07,117499.000000,118303.000000,116748.000000,117624.000000,117624.000000,0
2021-04-08,117624.000000,118850.000000,117486.000000,118313.000000,118313.000000,8778200
2021-04-09,118313.000000,118643.000000,117336.000000,117670.000000,117670.000000,7739400
2021-04-12,117661.000000,118812.000000,117661.000000,118812.000000,118812.000000,7000500
2021-04-13,118809.000000,119529.000000,118041.000000,119297.000000,119297.000000,8977600
2021-04-14,119298.000000,120871.000000,119298.000000,120295.000000,120295.000000,10076600
2021-04-15,120290.000000,121409.000000,120084.000000,120701.000000,120701.000000,7948100
2021-04-16,120701.000000,121333.000000,120199.000000,121114.000000,121114.000000,7945600
2021-04-19,121116.000000,121974.000000,120682.000000,120934.000000,120934.000000,10028100
2021-04-20,120925.000000,121354.000000,119841.000000,120062.000000,120062.000000,7811500
2021-04-22,120064.000000,120995.000000,119203.000000,119371.000000,119371.000000,8598600
2021-04-23,119372.000000,120815.000000,119372.000000,120530.000000,120530.000000,7615500
2021-04-26,120534.000000,121393.000000,119860.000000,120595.000000,120595.000000,7095300
2021-04-27,120595.000000,121012.000000,119003.000000,119388.000000,119388.000000,8362300
2021-04-28,119392.000000,121276.000000,119392.000000,121053.000000,121053.000000,9081500
2021-04-29,121053.000000,121498.000000,119703.000000,120066.000000,120066.000000,8500200
2021-04-30,120064.000000,120125.000000,118894.000000,118894.000000,118894.000000,11093200
2021-05-03,118951.000000,119904.000000,118528.000000,119209.000000,119209.000000,8888300
2021-05-04,119209.000000,119293.000000,117631.000000,117712.000000,117712.000000,8765500
2021-05-05,117725.000000,119734.000000,117725.000000,119564.000000,119564.000000,9059100
2021-05-06,119577.000000,119966.000000,119071.000000,119921.000000,119921.000000,8779600
2021-05-07,119922.000000,122038.000000,119922.000000,122038.000000,122038.000000,8865100
2021-05-10,122038.000000,122772.000000,121795.000000,121909.000000,121909.000000,8219100
2021-05-11,121904.000000,122964.000000,120145.000000,122964.000000,122964.000000,7988600
2021-05-12,122964.000000,122964.000000,119458.000000,119710.000000,119710.000000,9405200
2021-05-13,119711.000000,121426.000000,119711.000000,120706.000000,120706.000000,9356200
2021-05-14,120719.000000,122195.000000,120719.000000,121881.000000,121881.000000,10136300
2021-05-17,121880.000000,123074.000000,121680.000000,122938.000000,122938.000000,7408100
2021-05-18,122937.000000,123544.000000,122550.000000,122980.000000,122980.000000,7840100
2021-05-19,122976.000000,123013.000000,121595.000000,122636.000000,122636.000000,8825300
2021-05-20,122636.000000,122734.000000,122136.000000,122701.000000,122701.000000,7906400
2021-05-21,122701.000000,122799.000000,121760.000000,122592.000000,122592.000000,9493600
2021-05-24,122592.000000,124167.000000,122526.000000,124032.000000,124032.000000,8186300
2021-05-25,124032.000000,124696.000000,122701.000000,122988.000000,122988.000000,8914500
2021-05-26,122988.000000,124256.000000,122988.000000,123989.000000,123989.000000,8258400
2021-05-27,123989.000000,124537.000000,123470.000000,124367.000000,124367.000000,0
2021-05-28,124367.000000,125698.000000,124284.000000,125561.000000,125561.000000,8838500
2021-05-31,125561.000000,126216.000000,125540.000000,126216.000000,126216.000000,5946500
2021-06-01,126218.000000,128363.000000,126218.000000,128267.000000,128267.000000,12496100
2021-06-02,128268.000000,129601.000000,128167.000000,129601.000000,129601.000000,12781100
2021-06-04,129600.000000,130137.000000,129148.000000,130126.000000,130126.000000,9814800
2021-06-07,130125.000000,131190.000000,129498.000000,130776.000000,130776.000000,9655400
2021-06-08,130776.000000,130776.000000,129230.000000,129787.000000,129787.000000,10346600
2021-06-09,129800.000000,130882.000000,129281.000000,129907.000000,129907.000000,9833700
2021-06-10,129911.000000,130527.000000,129526.000000,130076.000000,130076.000000,8537900
2021-06-11,130076.000000,130294.000000,128678.000000,129441.000000,129441.000000,7748200
2021-06-14,129441.000000,131084.000000,129441.000000,130208.000000,130208.000000,8155700
2021-06-15,130208.000000,130436.000000,129304.000000,130091.000000,130091.000000,7211500
2021-06-16,130091.000000,130283.000000,128345.000000,129259.000000,129259.000000,12879400
2021-06-17,129259.000000,129919.000000,127576.000000,128057.000000,128057.000000,9664700
2021-06-18,128050.000000,128796.000000,127595.000000,128405.000000,128405.000000,12432000
2021-06-21,128405.000000,129412.000000,128048.000000,129265.000000,129265.000000,7333600
2021-06-22,129242.000000,129259.000000,127803.000000,128767.000000,128767.000000,9328000
2021-06-23,128769.000000,129901.000000,128182.000000,128428.000000,128428.000000,7988900
2021-06-24,128433.000000,129541.000000,128428.000000,129514.000000,129514.000000,7237000
2021-06-25,129513.000000,129748.000000,126697.000000,127256.000000,127256.000000,9363800
2021-06-28,127255.000000,128067.000000,126629.000000,127429.000000,127429.000000,8155600
2021-06-29,127429.000000,127507.000000,126184.000000,127327.000000,127327.000000,7777900
2021-06-30,127323.000000,127323.000000,126199.000000,126802.000000,126802.000000,9098600
2021-07-01,126802.000000,127204.000000,124994.000000,125666.000000,125666.000000,9292000
2021-07-02,125667.000000,127672.000000,125667.000000,127622.000000,127622.000000,7434800
2021-07-05,127622.000000,127633.000000,126531.000000,126920.000000,126920.000000,5255600
2021-07-06,126919.000000,126919.000000,124866.000000,125095.000000,125095.000000,7651300
2021-07-07,125096.000000,127249.000000,125094.000000,127019.000000,127019.000000,8151400
2021-07-08,127013.000000,127013.000000,124310.000000,125428.000000,125428.000000,8881400
2021-07-12,125428.000000,127782.000000,125428.000000,127594.000000,127594.000000,7421600
2021-07-13,127594.000000,128420.000000,126441.000000,128168.000000,128168.000000,7152000
2021-07-14,128169.000000,129620.000000,128085.000000,128407.000000,128407.000000,0
2021-07-15,128407.000000,128976.000000,126922.000000,127468.000000,127468.000000,7418600
2021-07-16,127468.000000,128010.000000,125808.000000,125960.000000,125960.000000,7355800
